TV3                                                     
2002-01-01 - Antradienis   
MISSING DATES/needs to be filled in 2002-06-12

2002-03-11 - Pirmadienis
01.35 	Pabaiga 	

2002-03-15 - Penktadienis
06.55 	Programa. 	
07.00 	Betmenas (Batman). JAV. Nuotykių filmas. III dalis. 25 s. (k.)  Vaikams
07.25 	Be tabu. Infošou. (k.)	Laida
07.50 	Virginija (La Intrusa). Meksika. 2001. Drama. 93, 94 s. (k.)  Serialas
09.25 	Apsvaigę iš meilės (Locura De Amor). Meksika. 2000. Drama. 40 s. (k.)  Serialas
10.15 	ZTV. Muzikos - informacinė laida. (k.)	Laida
10.45 	Lietuvos ryto televizija. (k.)  Laida
11.45 	Varžovės (Popular). JAV. 2000. Serialas jaunimui. II dalis. 4 s. (k.)  Serialas
12.35 	Žiedė (Blossom). JAV. 1991. Komedija. 55 s. (k.)  Serialas
13.00 	Ponas ir ponia Lavingai (Mr. & Mrs. Loving). JAV. 1996. Drama. Rež. Richard Friedenberg. Vaidina Timothy Hutton, Lela Rochon, Ruby Dee, Bill Nunn, Corey Parker.  Filmas
13.59 	Rinkis 3. Loterija. (Pertraukoje)  Žaidimas
14.45 	ZTV. Muzikos - informacinė laida. Laidos vedėjas Martynas Starkus.	Laida
15.15 	Betmenas (Batman). JAV. Nuotykių filmas. III dalis. 25 s. (k.)	Vaikams
15.45 	Apsvaigę iš meilės (Locura De Amor). Meksika. 2000. Drama. 42 s.  Serialas
16.40 	Virginija (La Intrusa). Meksika. 2001. Drama. 105 s.  Serialas
17.40 	Kaip jaučiatės?. Informacinė sveikatinimo laida. Laidos vedėja Rūta Miliauskienė.	Laida
17.45 	Virginija (La Intrusa). Meksika. 2001. Drama. 106 s.	Serialas
18.45 	TV3 žinios.  Laida
19.05 	TV3 sportas.  Sportas
19.10 	Orai. 	
19.10 	Šapro šou. Humoro laida. (k.)	Laida
19.44 	Rinkis 3. Loterija.  Žaidimas
19.45 	VRS kamera.  Humoro laida. Laidos vedėjai Jūratė Bitinaitė ir Dainius Martinaitis.  Laida
20.20 	Didysis penktadienio filmas. Striptizo ereliai (The Full Monty). Didžioji Britanija. 1997. Komedija. Rež. Peter Cattaneo. Vaidina Robert Carlyle, Mark Addy, Williap Snape, Steve Huison. (T)  Filmas
22.20 	TV3 žinios.  Laida
22.30 	Regeneratorius (Final Equinox). JAV. 1995. Veiksmo filmas. Rež. Serge Rodunsky. Vaidina Joe Lara, David Warner, Robin Joi Brown. (T)	Filmas
