TV3                            
2001-01-01 - Pirmadienis                    
--

2001-12-11 - Antradienis
06.55 	Programa. 	
15.15 	Simpsonai (The Simpsons). JAV. Animacinis filmas. IV dalis. 6 s.  Vaikams
15.45 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 62 s. Serialas
16.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 67 s.  Serialas
17.40 	Kaip jaučiatės?. Informacinė sveikatinimo laida. Laidos vedėja Rūta Miliauskienė.  Laida
17.45 	Virginija (La Intrusa). Meksika. 2001. Drama. 39 s.  Serialas 
18.45 	TV3 žinios.  Laida
19.05 	TV3 sportas.  Sportas
19.10 	Orai. 	
19.10 	Šapro šou. Humoro laida.
19.45 	TV3 atneš šventę!. Kalėdinė akcija.	Žaidimas
19.50 	VRS kamera. Humoro laida. Laidos vedėjas Dainius Martinaitis.	Laida
20.25 	Didysis penktadienio filmas. 101 dalmatinas (101 Dalmatians). JAV. 1996. Komedija. Rež. Stephen Herek. Vaidina Glenn Close, Jeff Daniels, Joely Richardson.	Filmas
22.30 	Metų automobilis 2002. 	Laida
22.40 	TV3 žinios. 	Laida
22.50 	Tauro alaus TV žaidimas. 	Žaidimas
22.55 	Paskutinis traukinio apiplėšimas (One More Train to Rob). JAV. 1971. Vesternas. Rež. Andrew V. McLaglen. Vaidina George Peppard, Diana Muldaur, John Vernon.  Filmas
24.55 	Anapus ribos (Outer Limits). JAV/ Kanada. 1995. Fantastinis - mistinis serialas. 20 s. (N-14)  Serialas
01.55 	Pabaiga. 	

2001-12-15 - Šeštadienis
08.00 	Programa 	
08.05 	Ryto tra-lia-lia. Laida vaikams. Laidos vedėja Inesa Paliulytė.  Vaikams 	
08.05 	Betmenas (Batman). JAV. Nuotykių filmas. III dalis. 4 s.  Vaikams
08.35 	Padaužos bebriukai (Angry Beavers). Animacinė komedija. III dalis. 2 s.  Vaikams
09.05 	Visi šunys keliauja į dangų (All Dogs Go To Heaven). JAV. 1997. Animacinis filmas. 2 s.  Vaikams
09.35 	Gamtos karalija. Laidos vedėjas prof. Ričardas Kazlauskas.  Laida
09.45 	Simpsonai (The Simpsons). JAV. Animacinis filmas. X dalis. 10 s.  Vaikams
10.15 	Žiedė (Blossom). JAV. 1991. Komedija. 62 s.  Serialas
10.40 	Bičiuliai (Sidekicks). JAV. 1986. Nuotykių serialas. 19 s.  Serialas
11.05 	Varžovės (Popular). JAV. 1999. Serialas jaunimui. 14 s.  Serialas
11.50 	Snieguolė (Snow White). Vokietija, Slovakija. 1992. Pasaka. Rež. Ludvik Raza. Vaidina Natalie Minko, Gudrun Landgrebe, Alessandro Grassman.  Filmas
13.25 	UEFA Čempionų lygos apžvalga.  Sportas
14.20 	VRS kamera. Humoro laida. (k.)	Laida
14.50 	Trečias luitas už Saulės (Third Rock from the Sun). JAV. 1999. Fantastinė komedija. V dalis. 4 s.  Serialas
15.20 	Modelių agentūra (Models Inc.). JAV. 1994. Drama. 9 s.  Serialas
16.10 	Fantazijų sala (Fantasy Island). JAV. 1998. Nuotykių serialas. 3 s.  Serialas
17.05 	Lobių sala (Treasure Island). JAV. 1950. Nuotykių filmas. Rež. Byron Haskin. Vaidina Bobby Driscoll, Robert Newton, Basil Sydney.	Filmas
18.45 	TV3 žinios.  Laida
18.55 	TV3 sportas.  Sportas
19.00 	Orai. 	
19.00 	Šapro šou. Humoro laida. Laidos vedėjai Asta Baukutė ir Vytautas Šapranauskas.  Laida
19.35 	Letenos (Paws). Didžioji Britanija, Australija. 1997. Nuotykių komedija. Rež. Karl Zwicky. Vaidina Norman Kaye, Billy Connolly, Nathan Cavaleri, Emilie Franeois.  Filmas
21.15 	Robinzonai. 2001. Finalas. Tiesioginė transliacija iš Rygos.  Laida
