-----
Sausis
-----
21.00 Žalias drakonas. JAV, drama, 2001.
(23.00 Mišu iš Obero. Prancūzija, drama, 2007.
1.10 Atpildas. D. Britanija, drama, 2003.

2011-04-14 - Ketvirtadienis
3.00 Amerikietiškas nusikaltimas. JAV, trileris, 2004.
5.00 Geriausias tėtis pasaulyje. JAV, komedija, 2009.
7.00 Negerk vandens! JAV, komedija, 1994.
9.00 Elė Parker. JAV, komedija, 2005.
11.00 Kompanionai. JAV, komiška drama, 2006.
13.00 Viešbutis, vertas milijono. JAV, komiška drama, 2000.
15.10 Denas tikrame gyvenime. JAV, romantinė komedija/drama, 2007.
17.00 Nepaklotos lovos. D. Britanija, komedija, 2009.
19.00 Žiedo istorija. Didžioji Britanija, drama, 2007.
21.10 Amerikietiškas nusikaltimas. JAV, trileris, 2004.
23.00 Atpildas. D. Britanija, drama, 2003.
1.00 Rusiška ruletė. JAV, drama, 2007.

2011-04-15 - Penktadienis
3.00 Ema ir Džėjus. Australija, drama, 2006.
4.50 Žiedo istorija. Didžioji Britanija, drama, 2007.
7.00 Viešbutis, vertas milijono. JAV, komiška drama, 2000.
9.20 Denas tikrame gyvenime. JAV, romantinė komedija/drama, 2007.
11.10 Nepaklotos lovos. D. Britanija, komedija, 2009.
13.00 Auksiniai berniukai. JAV, romantinė drama, 2008.
15.00 Stefani Dali. JAV, drama, 2006.
17.00 Rugpjūtis. JAV, drama, 2008.
19.00 Meilė iš pirmo žvilgsnio. JAV, romantinė komedija, 1999.
21.00 Ema ir Džėjus. Australija, drama, 2006.
23.00 Rusiška ruletė. JAV, drama, 2007.
1.00 Nekišk nosies, kur nereikia.

2011-04-16 - Šeštadienis
3.00 Meilė ir kitos nelaimės. D. Britanija/Prancūzija, romantinė komedija, 2006.
5.00 Meilė iš pirmo žvilgsnio. JAV, romantinė komedija, 1999.
7.00 Auksiniai berniukai. JAV, romantinė drama, 2008.
9.00 Stefani Dali. JAV, drama, 2006.
11.00 Rugpjūtis. JAV, drama, 2008.
13.00 Manoletė. Ispanija, drama, 2007.
15.00 Ką gali pasakyti vien pasižiūrėjęs į ją. JAV, drama, 2000.
17.00 Pusryčiai Plutone. Airija/D. Britanija, komiška drama, 2005.
19.05 Ilgas bučinys nakčiai. JAV, veiksmo filmas, 1996.
21.10 Meilė ir kitos nelaimės. D. Britanija/Prancūzija, romantinė komedija, 2006.
23.00 Nekišk nosies, kur nereikia. JAV, drama, 2005.
1.00 Blondinė armijoje. JAV, komedija, 2008.

2011-04-17 - Sekmadienis
3.00 Trylika pokalbių apie tą patį. JAV, drama, 2001.
5.00 Ilgas bučinys nakčiai. JAV, veiksmo filmas, 1996.
7.00 Manoletė. Ispanija, drama, 2007.
9.00 Ką gali pasakyti vien pasižiūrėjęs į ją. JAV, drama, 2000.
11.00 Pusryčiai Plutone. Airija/D. Britanija, komiška drama, 2005.
14.00 Štai ir visas reikalas. JAV, romantinė komedija, 2001.
17.00 Medkirtys. JAV, drama, 2004.
19.00 Visa griaunantis. JAV, fantastinis filmas, 1992.
21.00 Trylika pokalbių apie tą patį. JAV, drama, 2001.
23.00 Blondinė armijoje. JAV, komedija, 2008.
1.00 Karo žaidimai. JAV, komedija, 2008.

2011-04-18 - Pirmadienis

2011-04-19 - Antradienis

2011-04-20 - Trečiadienis

2011-04-21 - Ketvirtadienis

2011-04-22 - Penktadienis

2011-04-23 - Šeštadienis

2011-04-24 - Sekmadienis

2011-04-25 - Pirmadienis

2011-04-26 - Antradienis

2011-04-27 - Trečiadienis

2011-04-28 - Ketvirtadienis

2011-04-29 - Penktadienis

2011-04-30 - Šeštadienis

-----
Gegužė
-----
2011-05-01 - Sekmadienis

2011-05-02 - Pirmadienis

2011-05-03 - Antradienis

2011-05-04 - Trečiadienis

2011-05-05 - Ketvirtadienis

2011-05-06 - Penktadienis

2011-05-07 - Šeštadienis

2011-05-08 - Sekmadienis

2011-05-09 - Pirmadienis
3.00 Meilė iš pirmo žvilgsnio. JAV, romantinė komedija, 1999.
5.00 Marko miuziklas. JAV, komedija, 2009.
7.00 Manoletė. Ispanija, drama, 2007.
9.00 Po žvaigždėtu dangum. Didžioji Britanija, istorinė drama, 2007.
11.00 Mūza. JAV, komedija, 1999.
13.00 Kompanionai. JAV, komiška drama, 2006.
14.50 Širdžių ėdikės. JAV, kriminalinė komedija, 2001.
17.00 Asmeniniai Pipos Li gyvenimai. JAV, drama, 2009.
19.00 Maištingoji Džeinė. D.Britanija, biografinė drama, 2007.
21.10 Meilė iš pirmo žvilgsnio. JAV, romantinė komedija, 1999.
23.00 Medkirtys. JAV, drama, 2004.
1.00 Naktinė audra. Japonija, animacinis/nuotykių, 2005.

2011-05-10 - Antradienis
3.00 Atpildas. D.Britanija, drama, 2003.
5.00 Maištingoji Džeinė. D.Britanija, biografinė drama, 2007.
7.00 Kompanionai. JAV, komiška drama, 2006.
