yes,id,die,m,me,diena,val,min,endv,endm,what,pic,pav,prog
n, ,Ðeðtadiená, , , ,09.,05, , ,Vaikams,dogs.gif,"Visi ðunys keliauja á dangø"," (All Dogs Go To Heaven). JAV. 1997. Animacinis filmas.<br>Linksmas filmukas apie ðunø gyvenimà. Jø nuotykiai, meilës romanai ir netgi mintys..."
n, ,Savaitgalá, , , ,08.,05, , ,Vaikams,tralialia.gif,"&quot;Ryto tra-lia-lia&quot;.","Savaitgaliø rytais vaikus vël þadins Inesos pasakëlës, naminuko Berto stebuklai, spintos Rozalijos lëliø teatras ir daugybë neátikëtinø Spinduliø gatvelës siurprizø. Ðaunieji Tralialiø namelio gyventojai mokosi, dûksta ir svajoja drauge su savo maþaisiais þiûrovais. Televizorius Pranukas greta jau pamëgtø animaciniø serialø "Garfildas ir draugai" ("Garfield and Friends"), "Digimonai" ("Digimons") bei "Liûtaðirdþiai" ("The Lionhearts"), parodys ir garsaus vaikø kanalo "Nickelodeon" animacijà - serialus "Padauþos bebriukai" ("The Angry Beavers") apie dviejø broliø bebrø neátikëtinai juokingus nuotykius ir "Kempiniukas" ("Spongebob Squarepants") apie neáprastà personaþà - jûroje gyventá Kempiniukà bei jo draugus. <br>Laidà veda Inesa Paliulytë."
n, ,Savaitgalá, , , ,08.,35, , ,Vaikams,bebriukai.gif,Padauþos bebriukai," (The Angry Beavers). Animacinë komedija. Du maþi bebriukai Norbertas ir Dadþetas lieka vienui vieni jaukiame skaidriame eþerëlyje vidury miðkø. Rodos, jø gyvenimas turëtø tekëti áprastai ir nuobodþiai. Taèiau abu broliai bebrai nuolat patiria neátikëtinai juokingø nuotykiø ir susiduria su keistas þmonëmis: iðprotëjusiu mokslininku, meksikieèiø imtyninkais, ilgaplaukiu nuogalium kanadieèiu ir netgi dviem robotais…"
n, ,Sekmadiená, , , ,09.,05, , ,Vaikams,digimonai.gif,&quot;Digimonai&quot;," (&quot;Digimon: Digital Monsters&quot;). JAV, Japonija, Prancûzija. 1999. Animacinis filmas."
n, ,Sekmadienis, , , ,14.,50, , ,Vaikams,karalius_hilas.gif,Karalius Hilas," (King of the Hill). Animacinë komedija. II dalis."
n, ,Savaitgalá, , , ,08.,10, , ,Vaikams,betmenas.gif,&quot;Betmenas&quot;," (&quot;Batman&quot;). JAV. 1966-1968. Nuotykiø drama. Reþisieriai Robert Butler, James B. Clark. Vaidina Adam West, Burt Ward, Alan Napier, Yvonne Craig.<br>Dienà Briusas Veinas tëra paprastas turtuolis, taèiau vakarais arba, kai Þemei gresia pavojus, jis tampa Betmenu - galingu kovotoju su blogiu. Jo nuotykiai, þygdarbiai ir meilës romanai - veiksmo seriale, kurá pamëgo viso pasaulio þiûrovai."
n, ,Ketvirtadiená-penktadiená, , , ,14.,45, , ,Vaikams,bjaurusis_anciukas.gif,Bjaurusis anèiukas," (Ugly Duckling). 1995. Animacinis filmas."
n, ,Savaitgalá, , , ,09.,45, , ,Vaikams,simpsonai.gif,&quot;Simpsonai&quot;," (&quot;The Simpsons&quot;). JAV. Animacinis filmas visiems."
n, ,Darbo dienomis, , , ,10.,45, , ,Vaikams,paslaptingas.gif,&quot;Paslaptingas Aleks Mek pasaulis&quot;," (&quot;Secret World of Alex Mack&quot;). JAV. 1994. Fantastinis nuotykiø serialas. Vaidina Larisa Oleynik, Meredith Bishop, Darris Love. Po nepavykusio cheminio eksperimento dvylikametë Aleks netikëtai ágauna stebuklingø galiø: ji lengvai pajudina sunkiausius daiktus ir bet kà gali nuspalvinti ryðkiai geltona spalva. Taèiau tokiø galiø jai suteikta ne ðiaip sau - mergaitei skirta susigrumti su piktuoju cheminio augalo savininku."

