-----
Sausis
-----
12.20 Haris Poteris ir išminties akmuo. JAV/D.Britanija, 3 Oskarams nominuotas fantastinis/nuotykių filmas, 2001.
15.00 Odinės galvos. JAV/Vokietija, romantinė komedija, 2008.
16.50 Keleiviai. JAV/Kanada, mistinė drama, 2008.
18.20 Paskutinis šansas įsimylėti. JAV, romantinė drama, 2008.
20.00 Išrinktųjų medžioklė. JAV/Kanada, fantastinis trileris, 2009.
22.00 Mirties lenktynės. JAV/Vokietija, fantastinis trileris, 2008.
00.00 Neįkainojamos fantazijos. JAV, erotinis filmas, 2008.
02.00 Menininkė. JAV, erotinis filmas, 2008.
04.00 Pasala. Kanada/Argentina, kriminalinis trileris, 2008.

2011-03-08 - Antradienis
06.00 Išrinktųjų medžioklė. JAV/Kanada, fantastinis trileris, 2009.
08.00 Paskutinis šansas įsimylėti. JAV, romantinė drama, 2008.
10.00 Keleiviai. JAV/Kanada, mistinė drama, 2008.
12.00 Ledynmetis 3. JAV, animacinė komedija, 2009.
13.50 Šok su juo. Prancūzija, drama, 2007.
15.50 Baderio-Mainhof kompleksas. Vokietija/Prancūzija, Oskarui nominuotas kriminalinis trileris, 2008.
18.20 Džojaus Nardono istorija. JAV, drama, 2009.
20.00 Visuomenės priešai. JAV, kriminalinis trileris, 2009.
22.20 Pasala. Kanada/Argentina, kriminalinis trileris, 2008.
00.00 Pupytė. Ispanija, erotinis filmas, 2008.
02.00 Neįkainojamos fantazijos. JAV, erotinis filmas, 2008.
04.00 Nacių eksperimentas. JAV, siaubo trileris, 2009.

2011-03-09 - Trečiadienis
06.00 Visuomenės priešai. JAV, kriminalinis trileris, 2009.
08.20 Džojaus Nardono istorija. JAV, drama, 2009.
10.00 Baderio-Mainhof kompleksas. Vokietija/Prancūzija, Oskarui nominuotas kriminalinis trileris, 2008.
12.30 Naktis muziejuje 2. JAV, fantastinė komedija, 2009.
14.10 Mis Kovas. JAV, komedija, 2009.
15.40 Užkibo. JAV, romantinė komedija, 2007.
18.00 Ieškomas. JAV/Vokietija, Oskarams nominuotas veiksmo trileris, 2008.
20.00 Pasipriešinimas. JAV. 2008. Karo drama.
22.20 Nacių eksperimentas. JAV, siaubo trileris, 2009.
00.00 Drėgna. JAV, erotinis filmas, 2009.
02.00 Pupytė. Ispanija, erotinis filmas, 2008.
03.50 Išminuotojų būrys. JAV, šešiais Oskarais apdovanota karo drama, 2008.

2011-03-10 - Ketvirtadienis
06.00 Pasipriešinimas. JAV. 2008. Karo drama.
08.20 Ieškomas. JAV/Vokietija, Oskarams nominuotas veiksmo trileris, 2008.
10.10 Užkibo. JAV, romantinė komedija, 2007.
12.20 Policininkų šou. JAV/Australija, veiksmo komedija, 2002.
14.00 Vieta po saule. Prancūzija, drama, 2007.
16.00 Nukentėjęs pareigūnas. D.Britanija, kriminalinė komedija, 2001.
18.00 Čarlio Vilsono karas. JAV, Oskarui nominuota biografinė drama, 2007.
20.00 Lūšnynų milijonierius. D.Britanija, 8-iais Oskarais apdovanota romantinė drama, 2008.
22.00 Išminuotojų būrys. JAV, šešiais Oskarais apdovanota karo drama, 2008.
00.10 Potraukis. JAV, erotinis filmas, 2007.
02.00 Drėgna. JAV, erotinis filmas, 2009.
04.00 Pjūklas VI. Kanada/JAV, siaubo trileris, 2009.

2011-03-11 - Penktadienis
06.00 Lūšnynų milijonierius. D.Britanija, 8-iais Oskarais apdovanota romantinė drama, 2008.
08.00 Čarlio Vilsono karas. JAV, Oskarui nominuota biografinė drama, 2007.
10.00 Nukentėjęs pareigūnas. D.Britanija, kriminalinė komedija, 2001.
12.00 Delgas. JAV, animacinis/nuotykių, 2008.
14.00 Džentelmenai Bronkai. JAV, komedija, 2009.
16.00 Marlis ir aš. JAV, romantinė komedija, 2008.
18.00 Saugotojas. JAV, kriminalinis trileris, 2009.
20.00 Atpirkimas. D.Britanija/Prancūzija, Oskaru apdovanota romantinė drama, 2007.
22.00 Pjūklas VI. Kanada/JAV, siaubo trileris, 2009.
00.00 Tarp Marso ir Veneros. Didžioji Britanija, erotinis filmas, 2009.
02.00 Potraukis. JAV, erotinis filmas, 2007.
04.00 Pagrobimas. Prancūzija, kriminalinis trileris, 2008.

2011-03-12 - Šeštadienis
06.00 Atpirkimas. D.Britanija/Prancūzija, Oskaru apdovanota romantinė drama, 2007.
08.00 Futurama: žalieji toliai. JAV, animacinė komedija, 2009.
10.00 Marlis ir aš. JAV, romantinė komedija, 2008.
12.00 Mama į skolą. JAV, romantinė komedija, 2008.
14.00 Be abejo, turbūt. D.Britanija/JAV, romantinė komedija, 2008.
15.50 Viskas įskaičiuota. JAV, komedija, 2009.
17.50 Atostogos. JAV, romantinė komedija, 2006.
20.00 Tikroji padėtis. JAV/D.Britanija, kriminalinis trileris, 2009.
22.10 Pagrobimas. Prancūzija, kriminalinis trileris, 2008.
00.00 Aksomas. Čekija, erotika, 2007.
02.00 Tarp Marso ir Veneros. Didžioji Britanija, erotinis filmas, 2009.
03.20 Negarbingi šunsnukiai. JAV/Vokietija, Oskaru apdovanotas karo trileris, 2009.

