Balticum Platinum
-----
Sausis
-----
2025-01-01 - Trečiadienis
11:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
12:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
13:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
14:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
15:00 Draminis serialas „Naujokė“ (17) (Ukraina, 2019 m.) (N-7)
16:00 Draminis serialas „Naujokė“ (18) (Ukraina, 2019 m.) (N-7)
17:00 Komedija „Geriausias savaitgalis“ (Ukraina, 2022 m.) (N-7)
19:00 Karinis draminis serialas „Meilės šauksmas“ (3) (Ukraina, 2024 m.) (N-7) / Premjera
20:00 Karinis draminis serialas „Meilės šauksmas“ (4) (Ukraina, 2024 m.) (N-7) / Premjera
21:00 Komedija „Dvi žvaigždės“ (Ukraina, 2021 m.) (N-7)
23:00 Romantinis draminis serialas „Audra virš Tichorečės“ (1) (Ukraina, 2016 m.) (N-7)
00:00 Romantinis draminis serialas „Audra virš Tichorečės“ (2) (Ukraina, 2016 m.) (N-7)
01:00 Romantinis draminis serialas „Audra virš Tichorečės“ (3) (Ukraina, 2016 m.) (N-7)
02:00 Romantinis draminis serialas „Audra virš Tichorečės“ (4) (Ukraina, 2016 m.) (N-7)

2025-01-12 - Sekmadienis
07:00 Romantinis draminis serialas „Chameleonas“ (1) (Ukraina, 2019 m.) (N-7)
08:00 Romantinis draminis serialas „Chameleonas“ (2) (Ukraina, 2019 m.) (N-7)
09:00 Romantinis draminis serialas „Chameleonas“ (3) (Ukraina, 2019 m.) (N-7)
10:00 Romantinis draminis serialas „Chameleonas“ (4) (Ukraina, 2019 m.) (N-7)
11:00 Romantinis draminis serialas „Chameleonas“ (5) (Ukraina, 2019 m.) (N-7)
12:00 Romantinis draminis serialas „Chameleonas“ (6) (Ukraina, 2019 m.) (N-7)
13:00 Romantinis draminis serialas „Chameleonas“ (7) (Ukraina, 2019 m.) (N-7)
14:00 Romantinis draminis serialas „Chameleonas“ (8) (Ukraina, 2019 m.) (N-7)
15:00 Karinis draminis serialas „Meilės šauksmas“ (1) (Ukraina, 2024 m.) (N-7)
16:00 Karinis draminis serialas „Meilės šauksmas“ (2) (Ukraina, 2024 m.) (N-7)
17:00 Karinis draminis serialas „Meilės šauksmas“ (3) (Ukraina, 2024 m.) (N-7)
18:00 Karinis draminis serialas „Meilės šauksmas“ (4) (Ukraina, 2024 m.) (N-7)
19:00 Draminis serialas „Naujokė“ (17) (Ukraina, 2019 m.) (N-7)
20:00 Draminis serialas „Naujokė“ (18) (Ukraina, 2019 m.) (N-7)
21:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
22:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
23:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
00:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
01:00 Komedija „Geriausias savaitgalis“ (Ukraina, 2022 m.) (N-7)

2025-01-13 - Pirmadienis
07:00 Humoro serialas „Naujasis Vasylynos Pavlivnos gyvenimas“ (9-10) (Ukraina, 2019 m.) (N-7)
08:00 Karinis draminis serialas „Meilės šauksmas“ (1) (Ukraina, 2024 m.) (N-7)
09:00 Karinis draminis serialas „Meilės šauksmas“ (2) (Ukraina, 2024 m.) (N-7)
10:00 Romantinis draminis serialas „Chameleonas“ (9) (Ukraina, 2019 m.) (N-7)
