18:42 Mokslo sprogimas (S1E39) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
18:48 Endžio nuotykiai safaryje (S1E28) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
19:03 Mokslo sprogimas: Gyvenimo ratas (S1E2) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
19:08 Dino Deina: Gaujos lyderis / Dino prižiūrėtojas (S3E7) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
19:31 Siaubingos istorijos: Klastingasis Vilhelmas Užkariautojas (S6E3) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
19:57 Senovės paslaptys: Duonos paslaptis (S1E2) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
20:21 Krutink smegenis: Kodėl metalas toks stiprus? (S1E1) (BrainBuzz). Australija, 2018
20:46 Operacija "Herojus" (S1E7) (Operation Hero). Naujoji Zelandija, 2011
21:09 Mokslo sprogimas: Gyvenimo ratas (S1E2) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
21:14 Irvinų šeimynėlė: Krokodilų meilės istorija (S2E5) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
21:57 Endžio dinozaurų nuotykiai: Stegozauras ir tapyba (S1E16) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
22:12 Jaunųjų kepėjų lyga: Finalas – 2 diena (S4E15) (Junior Bake Off). Vaikams. Anglija, 2016
22:42 Mokslo sprogimas (S1E40) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
22:47 Susipažink su žvėrynu (S1E1) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
23:10 Kalbantys gyvūnai (S2E5) (We're Talking Animals). Apie gamtą. Australija, 2015
23:34 Pasauliniai Endžio nuotykiai: Endis ir orangutangai (S1E6) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
23:50 SmartMix

2026-01-02 - Penktadienis
06:45 Endžio nuotykiai safaryje (S1E28) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
07:00 Mokslo sprogimas: Gyvenimo ratas (S1E2) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
07:04 Jaunųjų kepėjų lyga (S5E1) (Junior Bake Off). Vaikams. Anglija, 2019
07:51 Siaubingos istorijos: Mardy Mary – Škotijos karalienė (S6E4) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
08:19 Krutink smegenis: Kodėl metalas toks stiprus? (S1E1) (BrainBuzz). Australija, 2018
08:44 Endžio nuotykiai laukinėje gamtoje: Stručiai (S1E17) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
09:00 Senovės paslaptys: Požeminio geležinkelio paslaptis (S1E3) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
09:22 Pasauliniai Endžio nuotykiai: Endis ir orangutangai (S1E6) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
09:37 Operacija "Herojus" (S1E8) (Operation Hero). Naujoji Zelandija, 2011
10:00 Mokslo sprogimas (S1E40) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
10:06 Nuostabiosios Greisės mašinos (S3E3) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
10:22 Dino Deina: Dino pirkimas / Dino bėda (S3E8) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
10:44 Susipažink su žvėrynu (S1E2) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
11:08 Endžio dinozaurų nuotykiai: Diplodokas ir mėšlo vabalas (S1E17) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
11:24 Kalbantys gyvūnai (S2E6) (We're Talking Animals). Apie gamtą. Australija, 2015
11:48 Irvinų šeimynėlė: Oskaras piktas varlėsnapis (S2E6) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
12:31 Mokslo sprogimas: Gyvenimo ratas (S1E2) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
12:36 Endžio nuotykiai laukinėje gamtoje: Braškinės strėlinės varlės (S1E18) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
12:51 Endžio nuotykiai safaryje (S1E28) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
13:07 Mokslo sprogimas (S1E41) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
13:12 Operacija "Herojus" (S1E9) (Operation Hero). Naujoji Zelandija, 2011
13:35 Nuostabiosios Greisės mašinos (S3E4) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
13:51 Senovės paslaptys: Požeminio geležinkelio paslaptis (S1E3) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
14:14 Jaunųjų kepėjų lyga (S5E2) (Junior Bake Off). Vaikams. Anglija, 2019
14:59 Pasauliniai Endžio nuotykiai: Endis ir kazuaras (S1E7) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
15:15 Dino Deina: Dinostaurus / Karštas ir šaltas dinozauras (S3E9) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
15:38 Krutink smegenis: Kas yra lazeris? (S1E2) (BrainBuzz). Australija, 2018
16:03 Irvinų šeimynėlė: Krokodilų meilės istorija (S2E5) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
16:46 Siaubingos istorijos: Klastingasis Vilhelmas Užkariautojas (S6E3) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
17:13 Mokslo sprogimas (S1E3) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
17:18 Endžio dinozaurų nuotykiai: Stegozauras ir tapyba (S1E16) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
17:34 Kalbantys gyvūnai (S2E7) (We're Talking Animals). Apie gamtą. Australija, 2015
17:58 Susipažink su žvėrynu (S1E2) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
18:21 Endžio nuotykiai laukinėje gamtoje: Stručiai (S1E17) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
18:37 Mokslo sprogimas (S1E41) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
18:42 Nuostabiosios Greisės mašinos (S3E3) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
18:58 Mokslo sprogimas (S1E40) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
19:03 Endžio nuotykiai safaryje (S1E29) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
19:19 Mokslo sprogimas (S1E3) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
19:24 Dino Deina: Dino pirkimas / Dino bėda (S3E8) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
19:47 Siaubingos istorijos: Mardy Mary – Škotijos karalienė (S6E4) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
20:15 Senovės paslaptys: Požeminio geležinkelio paslaptis (S1E3) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
20:38 Krutink smegenis: Kas yra lazeris? (S1E2) (BrainBuzz). Australija, 2018
21:03 Operacija "Herojus" (S1E8) (Operation Hero). Naujoji Zelandija, 2011
21:26 Mokslo sprogimas (S1E3) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
21:31 Irvinų šeimynėlė: Oskaras piktas varlėsnapis (S2E6) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
22:15 Endžio dinozaurų nuotykiai: Diplodokas ir mėšlo vabalas (S1E17) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
22:30 Mokslo sprogimas (S1E41) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
22:36 Jaunųjų kepėjų lyga (S5E1) (Junior Bake Off). Vaikams. Anglija, 2019
23:22 Susipažink su žvėrynu (S1E2) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
23:46 Kalbantys gyvūnai (S2E6) (We're Talking Animals). Apie gamtą. Australija, 2015

2026-01-03 - Šeštadienis
00:10 Pasauliniai Endžio nuotykiai: Endis ir kazuaras (S1E7) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
00:26 SmartMix
06:45 Endžio nuotykiai safaryje (S1E29) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
07:00 Mokslo sprogimas (S1E3) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
07:06 Jaunųjų kepėjų lyga (S5E2) (Junior Bake Off). Vaikams. Anglija, 2019
07:51 Siaubingos istorijos: Voyager – iki paskutinės ribos (S6E5) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
08:21 Krutink smegenis: Kas yra lazeris? (S1E2) (BrainBuzz). Australija, 2018
08:46 Endžio nuotykiai laukinėje gamtoje: Braškinės strėlinės varlės (S1E18) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
09:02 Senovės paslaptys: Cilindrų, džiovintos žuvies ir medienos paslaptis (S1E4) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
09:24 Pasauliniai Endžio nuotykiai: Endis ir kazuaras (S1E7) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
09:40 Operacija "Herojus" (S1E9) (Operation Hero). Naujoji Zelandija, 2011
10:03 Mokslo sprogimas (S1E41) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
10:09 Nuostabiosios Greisės mašinos (S3E4) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
10:24 Dino Deina: Dinostaurus / Karštas ir šaltas dinozauras (S3E9) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
10:47 Susipažink su žvėrynu (S1E3) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
11:10 Endžio dinozaurų nuotykiai: Postosuchus ir dantys (S1E18) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
11:25 Kalbantys gyvūnai (S2E7) (We're Talking Animals). Apie gamtą. Australija, 2015
11:49 Irvinų šeimynėlė: Plaukimas su Steve'u (S2E7) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
12:33 Mokslo sprogimas (S1E3) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
12:38 Endžio nuotykiai laukinėje gamtoje: Baltažievė pušis (S1E19) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
12:54 Endžio nuotykiai safaryje (S1E29) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
13:09 Mokslo sprogimas (S1E42) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
13:15 Operacija "Herojus" (S1E10) (Operation Hero). Naujoji Zelandija, 2011
13:39 Nuostabiosios Greisės mašinos: Bekelės mašinos (S3E5) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
13:54 Senovės paslaptys: Cilindrų, džiovintos žuvies ir medienos paslaptis (S1E4) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
14:17 Jaunųjų kepėjų lyga (S5E3) (Junior Bake Off). Vaikams. Anglija, 2019
15:02 Pasauliniai Endžio nuotykiai: Endis ir Afrikos pingvinai (S1E8) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
15:18 Dino Deina: Dino teritorija / Priešistorinis plėšrūnas (S3E10) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
15:41 Krutink smegenis: Ką bendro turi driežai, gyvatės ir aligatoriai? (S1E3) (BrainBuzz). Australija, 2018
16:06 Irvinų šeimynėlė: Oskaras piktas varlėsnapis (S2E6) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
16:49 Siaubingos istorijos: Mardy Mary – Škotijos karalienė (S6E4) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
17:17 Mokslo sprogimas: Bernulis ir kompanija (S1E4) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2019
17:22 Endžio dinozaurų nuotykiai: Diplodokas ir mėšlo vabalas (S1E17) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
17:38 Kalbantys gyvūnai (S2E8) (We're Talking Animals). Apie gamtą. Australija, 2015
18:02 Susipažink su žvėrynu (S1E3) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
18:25 Mokslo sprogimas (S1E42) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
18:31 Endžio nuotykiai laukinėje gamtoje: Braškinės strėlinės varlės (S1E18) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
18:47 Nuostabiosios Greisės mašinos (S3E4) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
19:02 Mokslo sprogimas (S1E41) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
19:08 Endžio nuotykiai safaryje (S1E30) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
19:23 Mokslo sprogimas: Bernulis ir kompanija (S1E4) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2019
19:28 Dino Deina: Dinostaurus / Karštas ir šaltas dinozauras (S3E9) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
19:51 Siaubingos istorijos: Voyager – iki paskutinės ribos (S6E5) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
20:20 Senovės paslaptys: Cilindrų, džiovintos žuvies ir medienos paslaptis (S1E4) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
20:43 Krutink smegenis: Ką bendro turi driežai, gyvatės ir aligatoriai? (S1E3) (BrainBuzz). Australija, 2018
21:08 Operacija "Herojus" (S1E9) (Operation Hero). Naujoji Zelandija, 2011
21:32 Mokslo sprogimas: Bernulis ir kompanija (S1E4) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2019
21:36 Irvinų šeimynėlė: Plaukimas su Steve'u (S2E7) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
22:20 Endžio dinozaurų nuotykiai: Postosuchus ir dantys (S1E18) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
22:35 Mokslo sprogimas (S1E42) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
22:40 Jaunųjų kepėjų lyga (S5E2) (Junior Bake Off). Vaikams. Anglija, 2019
23:26 Susipažink su žvėrynu (S1E3) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
23:49 Kalbantys gyvūnai (S2E7) (We're Talking Animals). Apie gamtą. Australija, 2015

2026-01-04 - Sekmadienis
00:13 Pasauliniai Endžio nuotykiai: Endis ir Afrikos pingvinai (S1E8) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
00:29 SmartMix
06:45 Endžio nuotykiai safaryje (S1E30) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
07:00 Mokslo sprogimas: Bernulis ir kompanija (S1E4) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2019
07:05 Jaunųjų kepėjų lyga (S5E3) (Junior Bake Off). Vaikams. Anglija, 2019
07:51 Siaubingos istorijos: Bjaurusis Henris VIII (S6E6) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
08:20 Krutink smegenis: Ką bendro turi driežai, gyvatės ir aligatoriai? (S1E3) (BrainBuzz). Australija, 2018
08:45 Endžio nuotykiai laukinėje gamtoje: Baltažievė pušis (S1E19) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
09:01 Senovės paslaptys: Žaidimų paslaptis (S1E5) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
09:24 Pasauliniai Endžio nuotykiai: Endis ir Afrikos pingvinai (S1E8) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
09:40 Operacija "Herojus" (S1E10) (Operation Hero). Naujoji Zelandija, 2011
10:04 Mokslo sprogimas (S1E42) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
10:09 Nuostabiosios Greisės mašinos: Bekelės mašinos (S3E5) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
10:25 Dino Deina: Dino teritorija / Priešistorinis plėšrūnas (S3E10) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
10:47 Susipažink su žvėrynu (S1E4) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
11:10 Endžio dinozaurų nuotykiai: T-Rex ir riaumojimas (S1E19) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
11:26 Kalbantys gyvūnai (S2E8) (We're Talking Animals). Apie gamtą. Australija, 2015
11:50 Irvinų šeimynėlė: Robertas treniruoja drakoną (S2E8) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
12:33 Mokslo sprogimas: Bernulis ir kompanija (S1E4) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2019
12:38 Endžio nuotykiai laukinėje gamtoje: Naujosios Zelandijos pingvinai (S1E20) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
12:54 Endžio nuotykiai safaryje (S1E30) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2018
13:09 Mokslo sprogimas (S1E43) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
13:15 Operacija "Herojus" (S2E1) (Operation Hero). Naujoji Zelandija, 2012
13:39 Nuostabiosios Greisės mašinos: Maisto mašinos (S3E6) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
13:54 Senovės paslaptys: Žaidimų paslaptis (S1E5) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
14:18 Jaunųjų kepėjų lyga (S5E4) (Junior Bake Off). Vaikams. Anglija, 2019
15:04 Pasauliniai Endžio nuotykiai: Endis ir Barbarijos makakos (S1E9) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
15:19 Dino Deina: Saugok mamutą / Dino katastrofa (S3E11) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
15:42 Krutink smegenis: Kodėl sukantis apsvaigstame? (S1E4) (BrainBuzz). Australija, 2018
16:07 Irvinų šeimynėlė: Plaukimas su Steve'u (S2E7) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
16:51 Siaubingos istorijos: Voyager – iki paskutinės ribos (S6E5) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
17:20 Mokslo sprogimas (S1E5) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
17:26 Endžio dinozaurų nuotykiai: Postosuchus ir dantys (S1E18) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
17:41 Kalbantys gyvūnai (S2E9) (We're Talking Animals). Apie gamtą. Australija, 2015
18:05 Susipažink su žvėrynu (S1E4) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
18:28 Mokslo sprogimas (S1E43) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
18:34 Endžio nuotykiai laukinėje gamtoje: Baltažievė pušis (S1E19) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
18:49 Nuostabiosios Greisės mašinos: Bekelės mašinos (S3E5) (Grace's Amazing Machines). Visai šeimai, komedija, vaikams. Anglija, 2021
19:05 Mokslo sprogimas (S1E42) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
19:10 Endžio nuotykiai safaryje: Endis ir kuprotasis banginis (S1E31) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2019
19:26 Mokslo sprogimas (S1E5) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
19:31 Dino Deina: Dino teritorija / Priešistorinis plėšrūnas (S3E10) (Dino Dana). Visai šeimai, komedija, vaikams. JAV, Kanada, 2019
19:54 Siaubingos istorijos: Bjaurusis Henris VIII (S6E6) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
20:23 Senovės paslaptys: Žaidimų paslaptis (S1E5) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
20:47 Krutink smegenis: Kodėl sukantis apsvaigstame? (S1E4) (BrainBuzz). Australija, 2018
21:12 Operacija "Herojus" (S1E10) (Operation Hero). Naujoji Zelandija, 2011
21:36 Mokslo sprogimas (S1E5) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
21:41 Irvinų šeimynėlė: Robertas treniruoja drakoną (S2E8) (Crikey! It's the Irwins). Apie gamtą, dokumentika. JAV, 2019
22:25 Endžio dinozaurų nuotykiai: T-Rex ir riaumojimas (S1E19) (Andy's Dinosaur Adventures). Visai šeimai, vaikams, nuotykių. Anglija, 2014
22:40 Mokslo sprogimas (S1E43) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
22:46 Jaunųjų kepėjų lyga (S5E3) (Junior Bake Off). Vaikams. Anglija, 2019
23:31 Susipažink su žvėrynu (S1E4) (Meet the Menagerie). Apie gamtą, dokumentika. Bulgarija, 2013
23:54 Kalbantys gyvūnai (S2E8) (We're Talking Animals). Apie gamtą. Australija, 2015

2026-01-05 - Pirmadienis
00:18 Pasauliniai Endžio nuotykiai: Endis ir Barbarijos makakos (S1E9) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
00:34 SmartMix
06:45 Endžio nuotykiai safaryje: Endis ir kuprotasis banginis (S1E31) (Andy's Safari Adventures). Visai šeimai, vaikams. Anglija, 2019
07:00 Mokslo sprogimas (S1E5) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
07:05 Jaunųjų kepėjų lyga (S5E4) (Junior Bake Off). Vaikams. Anglija, 2019
07:51 Siaubingos istorijos: Gudrioji Kleopatra (S6E7) (Horrible Histories). Istorinis, visai šeimai, komedija. Anglija, 2015
08:19 Krutink smegenis: Kodėl sukantis apsvaigstame? (S1E4) (BrainBuzz). Australija, 2018
08:45 Endžio nuotykiai laukinėje gamtoje: Naujosios Zelandijos pingvinai (S1E20) (Andy's Wild Adventures). Fantastinis, visai šeimai, komedija. Anglija, 2012
09:01 Senovės paslaptys: Paslaptis apie besikeičiančias pakrantes (S1E6) (The Mystery Files). Istorinis, visai šeimai, vaikams. Kanada, 2016
09:23 Pasauliniai Endžio nuotykiai: Endis ir Barbarijos makakos (S1E9) (Andy's Global Adventures). Apie gamtą, vaikams, dokumentika. Anglija, 2023
09:38 Operacija "Herojus" (S2E1) (Operation Hero). Naujoji Zelandija, 2012
10:02 Mokslo sprogimas (S1E43) (ScienceXplosion). Vaikams, dokumentika. Kanada, 2018
