Epic Drama
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
01:25 Merdoko paslaptys: Sveiki atvykę į rojų (S18E8) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
02:20 Mėgstantis skaityti: Šiek tiek suklydęs (S1E2) (Bookish). Drama, kriminalinis. Anglija, 2025
03:35 Didelės ir mažos širdys: Daug laimingų sugrįžimų (S2E4) (All Creatures Great and Small). Drama, komedija. Anglija, 2021
04:30 Didelės ir mažos širdys: Kas muša paskutinis (S2E5) (All Creatures Great and Small). Drama, komedija. Anglija, 2021
07:00 Detektyvė Fišer: Ką tik nužudyta. 2 dalis (S1E2) (Ms Fisher's Modern Murder Mysteries). Mistinis, drama, kriminalinis. Australija, 2019
07:55 Skarlet ir Kunigaikštis: Deimantinė plunksna (S4E4) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
09:05 Didelės ir mažos širdys: Tobulos Kalėdos (S2E7) (All Creatures Great and Small). Drama, komedija. Anglija, 2021
10:15 Agatos Kristi mis Marpl: Tai daroma su veidrodžiais (S4E3) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
12:20 Merdoko paslaptys: Vyrai, kurie pardavė pasaulį (S18E10) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
13:15 Merdoko paslaptys: Bombos (S18E11) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
14:10 Žmogžudystė mažame miestelyje: Tai ir kiti dalykai (S2E7) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
15:10 Mėnulio akmuo (S1E5) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
16:10 Agatos Kristi mis Marpl: Tai daroma su veidrodžiais (S4E3) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
18:10 Marlou žmogžudysčių klubas: Buriavimas. Arti vėjo. 1 dalis (S2E5) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2025
19:10 Merdoko paslaptys: Mandalajaus žvaigždė (S18E12) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
20:10 Merdoko paslaptys: Ne tas vyras (S18E13) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
21:05 Hardakerių šeima (S1E5) (The Hardacres). Drama. Anglija, 2024
22:00 Mėgstantis skaityti: Mirtinas nitratas (S1E4) (Bookish). Drama, kriminalinis. Anglija, 2025
23:10 Komisaras Rikardis: Gyvieji ir mirusieji (S3E4) (Il Commissario Ricciardi). Mistinis, drama, kriminalinis. Italija, 2025

2026-01-03 - Šeštadienis
01:25 Merdoko paslaptys: Mandalajaus žvaigždė (S18E12) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
02:20 Merdoko paslaptys: Ne tas vyras (S18E13) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
03:15 Mėgstantis skaityti: Mirtinas nitratas (S1E4) (Bookish). Drama, kriminalinis. Anglija, 2025
04:25 Didelės ir mažos širdys: Tobulos Kalėdos (S2E7) (All Creatures Great and Small). Drama, komedija. Anglija, 2021
05:35 Skarlet ir Kunigaikštis: Deimantinė plunksna (S4E4) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
07:45 Didelės ir mažos širdys: Daug laimingų sugrįžimų (S2E4) (All Creatures Great and Small). Drama, komedija. Anglija, 2021
08:45 Didelės ir mažos širdys: Kas muša paskutinis (S2E5) (All Creatures Great and Small). Drama, komedija. Anglija, 2021
09:45 Didelės ir mažos širdys: Skaudi tiesa (S2E6) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
10:45 Agatos Kristi mis Marpl: Žmogžudystė golfo lauke (S3E3) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2007
12:50 Marlou žmogžudysčių klubas: Mirtis ateina į Marlo. 1 dalis (S2E1) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2024
13:50 Marlou žmogžudysčių klubas (S2E2) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2024
14:50 Marlou žmogžudysčių klubas: Mirtis prie kolegijos. 1 dalis (S2E3) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2024
15:50 Marlou žmogžudysčių klubas: Mirtis šalia. 2 dalis (S2E4) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2024
16:50 Marlou žmogžudysčių klubas: Buriavimas. Arti vėjo. 1 dalis (S2E5) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2025
17:50 Marlou žmogžudysčių klubas: Arti vėjo. 2 dalis (S2E6) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2025
19:00 Agatos Kristi mis Marpl: Atpildas už žmogžudystę (S3E4) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2007
21:00 Hardakerių šeima (S1E6) (The Hardacres). Drama. Anglija, 2024
22:00 Mėgstantis skaityti: Tokios atsidavusios seserys (S1E5) (Bookish). Drama, kriminalinis. Anglija, 2025
23:10 Agata ir vidurnakčio žmogžudystės (Agatha and the Midnight Murders). Karinis, mistinis, drama. Anglija, 2020

2026-01-04 - Sekmadienis
01:10 Detektyvė Fišer: Mirtiinas smūgis (S2E6) (Ms Fisher's Modern Murder Mysteries). Mistinis, drama, kriminalinis. Australija, 2021
02:10 Detektyvė Fišer: Reel žmogžudystė (S2E7) (Ms Fisher's Modern Murder Mysteries). Mistinis, drama, kriminalinis. Australija, 2021
03:05 Mėgstantis skaityti: Tokios atsidavusios seserys (S1E5) (Bookish). Drama, kriminalinis. Anglija, 2025
04:15 Agatos Kristi mis Marpl: Žmogžudystė golfo lauke (S3E3) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2007
07:05 Skarlet ir Kunigaikštis: Šiaurės brangakmenis (S3E6) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2022
08:15 Skarlet ir Kunigaikštis: Šešios pėdos po žeme (S4E2) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
09:20 Skarlet ir Kunigaikštis: Ištakos (S4E3) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
10:35 Mėnulio akmuo (S1E1) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
11:30 Mėnulio akmuo (S1E2) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
12:30 Mėnulio akmuo (S1E3) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
13:30 Mėnulio akmuo (S1E4) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
14:25 Mėnulio akmuo (S1E5) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
15:20 Džeinė Eir (S1E1) (Jane Eyre). Melodrama, drama. Anglija, JAV, 2006
16:30 Džeinė Eir (S1E2) (Jane Eyre). Melodrama, drama. Anglija, JAV, 2006
17:35 Džeinė Eir (S1E3) (Jane Eyre). Melodrama, drama. Anglija, JAV, 2006
18:45 Džeinė Eir (S1E4) (Jane Eyre). Melodrama, drama. Anglija, JAV, 2006
19:55 Agatos Kristi mis Marpl: Rugiai kišenėje (S4E1) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
22:00 Mėgstantis skaityti: Tokios atsidavusios seserys (S1E6) (Bookish). Drama, kriminalinis. Anglija, 2025
23:10 Ledi Šaterli meilužis (Lady Chatterley's Lover). Melodrama, drama. Anglija, 2015

2026-01-05 - Pirmadienis
01:10 Merdoko paslaptys: Pastate tik Merdokas (S18E2) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
02:05 Merdoko paslaptys: Kas per Dikensas?! (S18E3) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
03:00 Agatos Kristi mis Marpl: Žudyti lengva (S4E2) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
05:00 Agatos Kristi mis Marpl: Tai daroma su veidrodžiais (S4E3) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
07:05 Skarlet ir Kunigaikštis: Pašaukimas (S4E5) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
08:15 Didelės ir mažos širdys: Pasisekė antrą kartą (S3E1) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
09:15 Merdoko paslaptys: Mandalajaus žvaigždė (S18E12) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
10:15 Merdoko paslaptys: Ne tas vyras (S18E13) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
11:10 Agatos Kristi mis Marpl: Tai daroma su veidrodžiais (S4E3) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
13:10 Žmogžudystė mažame miestelyje: Miegok, kol dainuoju (S1E8) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2024
14:05 Skarlet ir Kunigaikštis: Pašaukimas (S4E5) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
15:15 Didelės ir mažos širdys: Pasisekė antrą kartą (S3E1) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
16:15 Mėnulio akmuo (S1E1) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
17:15 Agatos Kristi mis Marpl: Kodėl nepaprašė Evans? (S4E4) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
19:15 Žmogžudystė mažame miestelyje: Žudymo aktai (S2E1) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
20:10 Merdoko paslaptys: Patogiausia žmogžudystė (S18E14) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
21:05 Merdoko paslaptys: Kai airiškos akys meluoja (S18E15) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
22:00 Marlou žmogžudysčių klubas: Mirtis ateina į Marlo. 1 dalis (S2E1) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2024
23:00 Ponas Speidas (S1E1) (Monsieur Spade). Trileris, mistinis, drama. Prancūzija, JAV, 2024

2026-01-06 - Antradienis
00:25 Merdoko paslaptys: Patogiausia žmogžudystė (S18E14) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
01:20 Merdoko paslaptys: Kai airiškos akys meluoja (S18E15) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
02:15 Žmogžudystė mažame miestelyje: Žudymo aktai (S2E1) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
03:15 Marlou žmogžudysčių klubas: Mirtis ateina į Marlo. 1 dalis (S2E1) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2024
04:15 Ponas Speidas (S1E1) (Monsieur Spade). Trileris, mistinis, drama. Prancūzija, JAV, 2024
05:35 Skarlet ir Kunigaikštis: Pašaukimas (S4E5) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
07:05 Skarlet ir Kunigaikštis: Pasiūlymas (S4E6) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
08:15 Didelės ir mažos širdys: Medaus mėnuo baigėsi (S3E2) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
09:15 Merdoko paslaptys: Patogiausia žmogžudystė (S18E14) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
10:15 Merdoko paslaptys: Kai airiškos akys meluoja (S18E15) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
11:05 Agatos Kristi mis Marpl: Kodėl nepaprašė Evans? (S4E4) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
13:15 Žmogžudystė mažame miestelyje: Žudymo aktai (S2E1) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
14:05 Skarlet ir Kunigaikštis: Pasiūlymas (S4E6) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
15:15 Didelės ir mažos širdys: Medaus mėnuo baigėsi (S3E2) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
16:15 Mėnulio akmuo (S1E2) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
17:15 Agatos Kristi mis Marpl: Palšas žirgas (S5E1) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2010
19:15 Žmogžudystė mažame miestelyje: Kruvinos vestuvės (S2E2) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
20:10 Merdoko paslaptys: Šekspyro barzda (S18E16) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
21:00 Merdoko paslaptys: Džeimso Pendriko mirtis (S18E17) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
22:00 Komisaras Megrė: Megretas spendžia spąstus (S1E1) (Maigret). Trileris, mistinis, kriminalinis. Anglija, 2016
23:55 Merdoko paslaptys: Šekspyro barzda (S18E16) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024

2026-01-07 - Trečiadienis
00:50 Merdoko paslaptys: Džeimso Pendriko mirtis (S18E17) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
01:50 Žmogžudystė mažame miestelyje: Kruvinos vestuvės (S2E2) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
02:45 Komisaras Megrė: Megretas spendžia spąstus (S1E1) (Maigret). Trileris, mistinis, kriminalinis. Anglija, 2016
04:35 Skarlet ir Kunigaikštis: Pasiūlymas (S4E6) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
05:50 Didelės ir mažos širdys: Medaus mėnuo baigėsi (S3E2) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
07:15 Skarlet ir Kunigaikštis: Priešas (S5E1) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2025
08:25 Didelės ir mažos širdys: Išgyvenantis Zygfridas (S3E3) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
09:25 Merdoko paslaptys: Šekspyro barzda (S18E16) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
10:20 Merdoko paslaptys: Džeimso Pendriko mirtis (S18E17) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
11:15 Agatos Kristi mis Marpl: Palšas žirgas (S5E1) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2010
13:15 Žmogžudystė mažame miestelyje: Kruvinos vestuvės (S2E2) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
14:10 Skarlet ir Kunigaikštis: Priešas (S5E1) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2025
15:20 Didelės ir mažos širdys: Išgyvenantis Zygfridas (S3E3) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
16:15 Mėnulio akmuo (S1E3) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
17:15 Agatos Kristi mis Marpl: Čimnizo pilies paslaptis (S5E2) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2010
19:15 Žmogžudystė mažame miestelyje: Motinos meilė (S2E3) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
20:10 Merdoko paslaptys: Neįtikėtini stulbinantys konsteblio Džordžo Krabtrio nuotykiai (S18E18) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
21:05 Merdoko paslaptys: Šuns paveldėtojas (S18E19) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
22:00 Džeinė Eir (S1E1) (Jane Eyre). Melodrama, drama. Anglija, JAV, 2006
23:05 Panelė Ostin (S1E1) (Miss Austen). Drama, biografinis. Anglija, 2025

2026-01-08 - Ketvirtadienis
00:15 Merdoko paslaptys: Neįtikėtini stulbinantys konsteblio Džordžo Krabtrio nuotykiai (S18E18) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
01:15 Merdoko paslaptys: Šuns paveldėtojas (S18E19) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
02:10 Žmogžudystė mažame miestelyje: Motinos meilė (S2E3) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
03:05 Džeinė Eir (S1E1) (Jane Eyre). Melodrama, drama. Anglija, JAV, 2006
04:15 Panelė Ostin (S1E1) (Miss Austen). Drama, biografinis. Anglija, 2025
05:20 Skarlet ir Kunigaikštis: Priešas (S5E1) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2025
07:15 Skarlet ir Kunigaikštis: Gildija (S5E2) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2025
08:25 Didelės ir mažos širdys: Kokia sudėtinga padėtis! (S3E4) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
09:25 Merdoko paslaptys: Neįtikėtini stulbinantys konsteblio Džordžo Krabtrio nuotykiai (S18E18) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
10:20 Merdoko paslaptys: Šuns paveldėtojas (S18E19) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
11:15 Agatos Kristi mis Marpl: Čimnizo pilies paslaptis (S5E2) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2010
13:15 Žmogžudystė mažame miestelyje: Motinos meilė (S2E3) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
14:10 Skarlet ir Kunigaikštis: Gildija (S5E2) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2025
15:15 Didelės ir mažos širdys: Kokia sudėtinga padėtis! (S3E4) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
16:15 Mėnulio akmuo (S1E4) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
17:15 Agatos Kristi mis Marpl: Mėlynoji pelargonija (S5E3) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2010
19:15 Žmogžudystė mažame miestelyje: Paskutinė daina (S2E4) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
20:10 Merdoko paslaptys: Siuntimas paštu (S18E20) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
21:00 Merdoko paslaptys: Elektrinis kūnas (S18E21) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
22:00 Sisi (S4E1). Istorinis, drama. Vokietija, Austrija, 2024
23:10 Tesė iš d'Erbervilių giminės (S1E1) (Tess of the D' Urbervilles). Melodrama, drama. Anglija, JAV, 2008

2026-01-09 - Penktadienis
00:15 Merdoko paslaptys: Siuntimas paštu (S18E20) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
01:15 Merdoko paslaptys: Elektrinis kūnas (S18E21) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
02:10 Žmogžudystė mažame miestelyje: Paskutinė daina (S2E4) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
03:05 Sisi (S4E1). Istorinis, drama. Vokietija, Austrija, 2024
04:15 Tesė iš d'Erbervilių giminės (S1E1) (Tess of the D' Urbervilles). Melodrama, drama. Anglija, JAV, 2008
05:20 Skarlet ir Kunigaikštis: Gildija (S5E2) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2025
07:20 Skarlet ir Kunigaikštis: Temzės giltinė (S5E3) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
08:30 Didelės ir mažos širdys: Edvardas (S3E5) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
09:30 Merdoko paslaptys: Siuntimas paštu (S18E20) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
10:25 Merdoko paslaptys: Elektrinis kūnas (S18E21) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
11:20 Agatos Kristi mis Marpl: Mėlynoji pelargonija (S5E3) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2010
13:15 Žmogžudystė mažame miestelyje: Paskutinė daina (S2E4) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
14:10 Skarlet ir Kunigaikštis: Temzės giltinė (S5E3) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
15:20 Didelės ir mažos širdys: Edvardas (S3E5) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
16:20 Mėnulio akmuo (S1E5) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
17:20 Agatos Kristi mis Marpl: Perskilęs veidrodis (S5E4) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2010
19:15 Žmogžudystė mažame miestelyje: Nepažįstamieji tarp mūsų (S2E5) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
20:10 Merdoko paslaptys: Patogiausia žmogžudystė (S18E14) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
21:05 Merdoko paslaptys: Kai airiškos akys meluoja (S18E15) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
22:00 Marlou žmogžudysčių klubas: Mirtis ateina į Marlo. 1 dalis (S2E1) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2024
23:00 Sisi (S4E1). Istorinis, drama. Vokietija, Austrija, 2024

2026-01-10 - Šeštadienis
00:10 Merdoko paslaptys: Patogiausia žmogžudystė (S18E14) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2025
01:05 Merdoko paslaptys: Kai airiškos akys meluoja (S18E15) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
02:00 Žmogžudystė mažame miestelyje: Nepažįstamieji tarp mūsų (S2E5) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
02:55 Marlou žmogžudysčių klubas: Mirtis ateina į Marlo. 1 dalis (S2E1) (The Marlow Murder Club). Drama, kriminalinis. Anglija, 2024
03:55 Sisi (S4E1). Istorinis, drama. Vokietija, Austrija, 2024
05:00 Skarlet ir Kunigaikštis: Temzės giltinė (S5E3) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
06:15 Didelės ir mažos širdys: Edvardas (S3E5) (All Creatures Great and Small). Drama, komedija. Anglija, 2022
07:55 Skarlet ir Kunigaikštis: Pasiūlymas (S4E6) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2024
09:05 Skarlet ir Kunigaikštis: Priešas (S5E1) (Miss Scarlet and the Duke). Trileris, drama, kriminalinis. Anglija, 2025
10:15 Merdoko paslaptys: Kai airiškos akys meluoja (S18E15) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
11:10 Merdoko paslaptys: Šekspyro barzda (S18E16) (Murdoch Mysteries). Mistinis, drama, detektyvas. Kanada, Anglija, 2024
12:05 Agatos Kristi mis Marpl: Kodėl nepaprašė Evans? (S4E4) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2009
14:10 Mėnulio akmuo (S1E1) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
15:10 Mėnulio akmuo (S1E2) (The Moonstone). Mistinis, drama, kriminalinis. Anglija, 2016
16:05 Agatos Kristi mis Marpl: Palšas žirgas (S5E1) (Agatha Christie's Marple). Mistinis, melodrama, drama. Anglija, 2010
18:05 Žmogžudystė mažame miestelyje: Žudymo aktai (S2E1) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
19:00 Žmogžudystė mažame miestelyje: Kruvinos vestuvės (S2E2) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
19:55 Žmogžudystė mažame miestelyje: Motinos meilė (S2E3) (Murder in a Small Town). Mistinis, drama, kriminalinis. Kanada, 2025
