1995-05-05 - Penktadienis
21.35 Antrojo pasaulinio karo pabaigos 50-mečiui. „Šindleris“. Dok. filmas.
22.55 „Eteris!“

1995-05-10 - Trečiadienis
7.00 Ryto ratas.
9.00 „Povandeninės kelionės“.
16.55 Programa.
17.00 Laikas.
17.15 Dviračio šou.
17.35 Šou bulvaras.
18.05 „Robinzonas Zukro“. II ser.
18.30 „Beverli Hilsas, 90210“. II ser.
19.30 Anglų dok. filmas „Paslaptingas Artūro Klarko pasaulis“.
20.00 Laikas.
20.40 Amerikiečių vaid. filmas „Malibu kelias, 2000“. 2 d.
22.15 Australų serialas „Gelbėjimo būrys“. I ser.

1995-05-11 - Ketvirtadienis
7.00 Ryto ratas.
9.00 „Paslaptingas Artūro Klarko pasaulis“. I ser.
16.55 Programa.
17.00 Laikas.
17.15 Karaoke ir kiti.
17.45 „Viskas!“
18.05 Animac. filmas „Transilvanijos žaislai“. I ser.
18.30 „Beverli Hilsas, 90210“. III ser.
19.30 „Vienam gale kablys...“ Laida žvejams ir ne tik jiems.
20.00 Laikas.
20.40 Anglų detektyvinių filmų ciklas „Frosto prisilietimas“. 1 d.
22.25 Amerikiečių serialas „Stiveno Kingo "Aukso amžius".

1995-05-12 - Penktadienis
7.00 Ryto ratas.
9.00 „Gelbėjimo būrys“.
16.55 Programa.
17.00 Laikas.
17.15 Keturi ratai.
17.35 Tangomanija.
18.05 „Volesas ir Gromitas“.
18.30 Anglų serialas „Gyvenimo smulkmenos“.
19.30 „Povandeninės kelionės“. II ser.
20.00 Laikas.
20.40 Kriminalinė kronika.
21.05 TV žaidimas „Taip. Ne.“
21.55 Muzikinė laida „Viskas!“
22.15 Anglų vaid. filmas „Elingtonas“.

1995-05-13 - Šeštadienis
9.00 Ryto ratas.
11.00 „Volesas ir Gromitas“.
11.30 „Meilė žeidžia“.
12.25 „Malibu kelias, 2000“.
13.55 „Vienam gale kablys...“
14.20 „Deutsche Welle“ informacinis žurnalas.
14.50 Tangomanija.
15.20 Tikro garso koncertas su Arina ir Veto Bank.
16.05 Muzikinė laida „Viskas!“
16.30 Kibir tele vibir. „Merlinas iš krištolinės uolos“. I ser.
18.00 Australijos serialas „Tolimosios šėtros“. II ser.
18.55 Keturi ratai.
19.25 Karaoke ir kiti.
20.00 Laikas.
20.40 „Unplugged su Gyčiu“.
21.40 JAV humoro serialas „Eteris!“ II ser.
22.05 Vieną kartą... Humoro laida.
22.35 JAV trileris „Džeinė Dou“.

1995-05-14 - Sekmadienis
9.00 Dok. filmas „Fatimos apsireiškimas“.
9.30 „Robinzonas Zukro“. II ser.
10.25 „Transilvanijos žaislai“.
10.50 TV žaidimas „Taip. Ne“.
11.45 Karaoke ir kiti.
12.15 „Tolimosios šėtros“.
13.10 „Dar vienas šansas“.
14.00 Keturi ratai.
14.25 Vieną kartą.
15.00 Kibir tele vibir. „Lobių sala“, „Marnijos kronikos“. II ser.
16.30 Amerikiečių lyrinė komedija „Nuotakos kūdikis“.
18.00 „168 biznio valandos“. Informacinė laida.
18.50 Animacinis serialas „Flinstounai“.
19.20 Anglų serialas „Meilė žeidžia“. II ser.
20.15 „Monitorius“. Savaitės aktualijų diskusinė laida.
21.00 Savaitės horoskopas.
21.05 Anglų komedija „Rožinės panteros sugrįžimas“.
23.00 „Sekmadienis“.

1995-05-15 - Pirmadienis
7.00 Ryto ratas.
16.55 Programa.
17.00 Laikas.
17.15 „168 biznio valandos“.
18.05 Animacinis f.
18.30 „Beverli Hilsas, 90210“.
19.30 „Povandeninės kelionės“.
20.00 Laikas.
20.40 Amerikiečių serialas „Dar vienas šansas“.
21.30 Tangomanija.
22.00 Unplugged su Gyčiu.
23.00 Monitorius.

1995-05-16 - Antradienis
7.00 Ryto ratas.
9.00 Dok. serialas „Povandeninės kelionės“.
16.55 Programa.
17.00 Laikas.
17.15 „Taip. Ne“.
18.05 Animac. serialas „Robinzonas Zukro“. III ser.
18.30 „Beverli Hilsas, 90210“. V ser.
19.30 Dok. serialas „Povandeninės kelionės“. IV ser.
20.00 Laikas.
20.40 JAV serialas „Žmogžudysčių skyrius“. XI ser.
21.30 Dok. filmas iš ciklo „Aušrinė - mano meilė“. I f. „Ar energetika fotogeniška?“.
22.10 JAV detektyvinis serialas „Dangiški migdolai“.

1995-05-17 - Trečiadienis
7.00 Ryto ratas.
9.00 „Povandeninės kelionės“.
16.55 Programa.
17.00 Laikas.
17.15 Dviračio šou.
17.35 Šou bulvaras.
18.05 „Kalavijo riteris“. II ser.
18.30 „Beverli Hilsas, 90210“. VI ser.
19.30 Anglų dok. filmas „Paslaptingas Artūro Klarko pasaulis“. II ser.
20.00 Laikas.
20.40 Amerikiečių vaid. filmas „Malibu kelias, 2000“. 3 d.
22.15 Australų serialas „Gelbėjimo būrys“. II ser.

1995-05-18 - Ketvirtadienis
7.00 Ryto ratas.
9.00 „Paslaptingas Artūro Klarko pasaulis“.
16.55 Programa.
17.00 Laikas.
17.15 Karaoke ir kiti.
17.45 „Viskas!“
18.05 Animac. filmas „Transilvanijos žvėrelių krautuvė“. II ser.
18.30 „Beverli Hilsas, 90210“. VII ser.
19.30 „Vienam gale kablys...“ Laida žvejams ir ne tik jiems.
20.00 Laikas.
20.40 Anglų detektyvinių filmų ciklas „Frosto prisilietimas“. 2 d.
22.25 Amerikiečių serialas „Stiveno Kingo "Aukso amžius".

1995-05-19 - Penktadienis
7.00 Ryto ratas.
9.00 „Gelbėjimo būrys“.
16.55 Programa.
17.00 Laikas.
17.15 Keturi ratai.
17.35 Tangomanija.
18.05 Anglų animacinis f.
18.30 Anglų serialas „Gyvenimo smulkmenos“.
19.30 Salonas dviem.
20.00 Laikas.
20.40 Kriminalinė kronika.
21.05 TV žaidimas „Taip. Ne“.
21.55 Muzikinė laida „Viskas!“
22.15 Anglų siaubo filmas „Legenda apie vilkolakį“.

1995-05-20 - Šeštadienis
9.00 Ryto ratas.
11.00 Programa.
11.05 „Meilė žeidžia“.
12.00 „Dangiški migdolai“.
12.55 Dok. filmas „Ar energetika fotogeniška?“
13.35 „Vienam gale kablys...“
13.55 „Deutsche Welle“ informacinis žurnalas.
14.25 Tangomanija.
14.50 Dviračio šou.
15.20 Muzikinė laida „Viskas!“
15.40 „Povandeninės kelionės“.
16.30 Kibir tele vibir. „Merlinas iš krištolinės uolos“. III ser., „Marnijos kronikos“.
18.00 Australijos serialas „Tolimosios šėtros“.
18.55 Keturi ratai.
19.25 Karaoke ir kiti.
20.00 Laikas.
20.40 Linksmiausia reklama pasaulyje. Anglų humoro laida.
21.40 JAV humoro serialas „Eteris!“ III ser.
22.05 „Šou bulvaras“. Humoro laida.
22.40 JAV trileris „Rusiška ruletė“.

1995-05-21 - Sekmadienis
9.00 Dok. filmas „Stebuklingasis Marijos medalionas“.
9.30 Animac. filmai.
11.40 TV žaidimas „Taip. Ne“.
12.35 Karaoke ir kiti.
13.05 „Tolimosios šėtros“.
14.00 „Dar vienas šansas“.
14.50 Keturi ratai.
15.15 Šou bulvaras.
15.45 Kibir tele vibir. „Lobių sala“, „Marnijos kronikos“.
17.15 JAV vaid. filmas „Skyzer“.
18.50 Animacinis serialas „Flinstounai“.
19.20 Anglų serialas „Meilė žeidžia“.
20.15 „Monitorius“.
21.00 Savaitės horoskopas.
21.05 Anglų nuotykių filmas „Grafas Montekristas“.
