Nickelodeon
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
20:15 Wylde Pak: Vuri pasaulis / Ieškant Flamingųmėgėjo85 (S1E3). Animacinis, visai šeimai, komedija. JAV, 2025
20:40 Triukšmingi namai: Kova prieš Kalėdas (S7E17) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2022
21:05 Triukšmingi namai: Mergina sublogusi / Deimantai yra ne amžiams (S5E13) (The Loud House). Animacinis, visai šeimai, komedija. JAV, 2021
21:30 Kempiniukas Plačiakelnis: Muzikos grupė / Paglostyk šunį (S13E270) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2021
21:50 Kempiniukas Plačiakelnis: Atklydo pašaliečiai / Pabaisiukai (S13E271) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2021
22:15 Kempiniukas Plačiakelnis: Bulvė Pagalvėlė / Tebūnie taukai! (S13E273) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2020
22:40 Patriko žvaigždžių šou: Apsipirkimas / Vienišas robotas (S3E2) (The Patrick Star Show). Animacinis, fantastinis, komedija. JAV, 2024
23:00 Vėžliukai nindzės: mutantų siautėjimas: Perlas (S1E12) (Tales of the Teenage Mutant Ninja Turtles).
23:25 Vėžliukai nindzės: mutantų siautėjimas: Mutantų kovų arena (S2E1) (Tales of the Teenage Mutant Ninja Turtles). Animacinis, visai šeimai, komedija. JAV, 2025
23:50 Kempiniukas Plačiakelnis: Geltonuolis (S14E304) (SpongeBob SquarePants).

2026-01-02 - Penktadienis
00:15 Kempiniukas Plačiakelnis: Mano koja / Rašalo limonadas (S11E231) (SpongeBob SquarePants). Animacinis, visai šeimai, komedija. JAV, 2018
00:35 Smurfai: Skraidymo asas / Laboratorijos asistentas (S1E21) (Les Schtroumpfs). Animacinis, fantastinis, visai šeimai. JAV, Vokietija, Prancūzija, Belgija, 2021
01:00 Smurfai: Garbės ordinas / Smurfų Motinos diena (S1E22) (Les Schtroumpfs). Animacinis, fantastinis, visai šeimai. JAV, Vokietija, Prancūzija, Belgija, 2021
01:25 Smurfai: Užauginti Smurfiuką / Pokyčiai (S1E9) (Les Schtroumpfs). Animacinis, fantastinis, visai šeimai. JAV, Vokietija, Prancūzija, Belgija, 2021
