duo Star
-----
Rugpjūtis
-----
2026-08-10 - Pirmadienis
02:30 Gucci mados namai. Drama, biografinis, kriminalinis. JAV, 2021
05:00 Duo Mix
06:05 Gucci mados namai. Drama, biografinis, kriminalinis. JAV, 2021
08:40 Haris Braunas. Veiksmo, trileris, kriminalinis. Anglija, 2009
10:20 A komanda: West Coast Turnaround (S1 E10). Veiksmo, nuotykių, kriminalinis. JAV, 1983
11:10 Pabėgimas iš Šoušenko. Drama. JAV, 1994
13:25 Gucci mados namai. Drama, biografinis, kriminalinis. JAV, 2021
16:00 A komanda: One More Time (S1 E11). Veiksmo, nuotykių, kriminalinis. JAV, 1983
16:45 Haris Braunas. Veiksmo, trileris, kriminalinis. Anglija, 2009
18:25 2:22. Trileris, mistinis, drama. JAV, 2017
20:05 Romo dienoraštis. Komedija, drama. JAV, 2011
22:00 Spartakas. Kraujas ir smėlis: Old Wounds (S1 E11). Veiksmo, nuotykių, drama. JAV, 2010
22:50 Pragaras rojuje. Drama, trileris, istorinis. JAV, 2012

2026-08-25 - Antradienis
02:15 Romo dienoraštis. Komedija, drama. JAV, 2011
04:10 Spartakas. Kraujas ir smėlis: Old Wounds (S1 E11). Veiksmo, nuotykių, drama. JAV, 2010
05:00 Duo Mix
07:40 Romo dienoraštis. Komedija, drama. JAV, 2011
09:40 Pragaras rojuje. Drama, trileris, istorinis. JAV, 2012
11:30 A komanda: One More Time (S1 E11). Veiksmo, nuotykių, kriminalinis. JAV, 1983
12:15 2:22. Trileris, mistinis, drama. JAV, 2017
13:55 Romo dienoraštis. Komedija, drama. JAV, 2011
15:50 A komanda: Till Death Do Us Part (S1 E12). Veiksmo, nuotykių, kriminalinis. JAV, 1983
16:35 Pragaras rojuje. Drama, trileris, istorinis. JAV, 2012
18:30 Mačetė. Veiksmo, kriminalinis, trileris. JAV, 2010
20:10 Gran Torino. Drama. JAV, 2008
22:00 Spartakas. Kraujas ir smėlis: Revelations (S1 E12). Veiksmo, nuotykių, drama. JAV, 2010
22:55 Memento. Trileris, mistinis, detektyvas. JAV, 2000

2026-08-26 - Trečiadienis
02:26 Gran Torino. Drama. JAV, 2008
04:15 Spartakas. Kraujas ir smėlis: Revelations (S1 E12). Veiksmo, nuotykių, drama. JAV, 2010
05:10 Duo Mix
08:20 Gran Torino. Drama. JAV, 2008
10:15 Memento. Trileris, mistinis, detektyvas. JAV, 2000
12:05 A komanda: Till Death Do Us Part (S1 E12). Veiksmo, nuotykių, kriminalinis. JAV, 1983
12:50 Mačetė. Veiksmo, kriminalinis, trileris. JAV, 2010
14:30 Gran Torino. Drama. JAV, 2008
16:20 A komanda: The Beast from the Belly of a Boeing (S1 E13). Veiksmo, nuotykių, kriminalinis. JAV, 1983
17:10 Memento. Trileris, mistinis, detektyvas. JAV, 2000
19:00 Nužudyk mane tris kartus. Nuotykių, mistinis, veiksmo. JAV, 2014
20:30 Artemis: Žudikų viešbutis. Veiksmo, kriminalinis, drama. Anglija, 2018
22:00 Spartakas. Kraujas ir smėlis: Kill Them All (S1 E13). Veiksmo, nuotykių, drama. JAV, 2010
22:50 Smagus pasivažinėjimas. Veiksmo, trileris, mistinis. JAV, 2001

2026-08-27 - Ketvirtadienis
01:50 Artemis: Žudikų viešbutis. Veiksmo, kriminalinis, drama. Anglija, 2018
03:25 Spartakas. Kraujas ir smėlis: Kill Them All (S1 E13). Veiksmo, nuotykių, drama. JAV, 2010
04:15 Duo Mix
07:55 Nužudyk mane tris kartus. Nuotykių, mistinis, veiksmo. JAV, 2014
09:25 Artemis: Žudikų viešbutis. Veiksmo, kriminalinis, drama. Anglija, 2018
10:55 Smagus pasivažinėjimas. Veiksmo, trileris, mistinis. JAV, 2001
