-----
Sausis
-----
2007-01-01 - Pirmadienis

2007-01-02 - Antradienis

2007-01-03 - Trečiadienis

2007-01-04 - Ketvirtadienis
12.30	"Adamsų šeimynėlė" (23) (Addams Family, the). 1964 m. JAV. Rež.: Stanley Z. Cherry, Arthur Hiller. Vaid.: Carolyn Jones, John Astin, Ted Cassidy. - Serialas
13.00	"Džekio Čano nuotykiai" (83) (Jackie Chan Adventures V).
13.25	"Lioko kodas" (4) (Code Lyoko). 2004 m. Prancūzija. - Animacinis serialas
13.50	"Pučinis" (23) (Poochini). 2000 m. JAV. Rež.: Dave Marshall, Dave Thomas. - Animacinis serialas
14.00	Sveikatos ABC.
14.30	"Pasivaikščiojimas su architektais" (19) (k) (Walks with Architects). 2004 m. Prancūzija. - Dokumentinis serialas
15.00	"Žudymo instinktas" (40) (Killer Instinct). 2001 m. JAV. - Dokumentinis serialas
16.00	"Šuniškos dienos" (In the Doghouse). 1998 m. Kanada. Rež.: George Miller. Vaid.: Matt Frewer, Trevor Morgan, Rhea Perlman. - Komedija
17.40	"Storulis Albertas" (6) (Fat Albert and the Cosby Kids).
18.00	"Dešimčia metų jaunesni per 10 dienų" (3, 4) (k) (10 Years Younger). 2004 m. Didžioji Britanija. - Realybės šou
19.00	"Žūtbūtinis mūšis" (18) (Mortal Combat: Conquest). 1998 m. JAV. Rež.: Charles Siebert, Oley Sassone. Vaid.: Paolo Montalban, Daniel Bernhardt, Kristanna Loken. - Veiksmo serialas
20.00	"Rekordų laužytojai" (21) (k) (Record Breakers). Australija. Rež.: Nick Hopkin. - Realybės dokumentika
20.30	NBA apžvalga (NBA action!). 2006 m. JAV.
21.00	NBA vržybos. Orlando "Magic" - Phoenix "Suns". Vaizdo įrašas.
23.10	DUŠAS. Muzikinė pramoginė pokalbių laida. Tiesioginė transliacija iš TV1 studijos. Vedėjai Uršula, Varinė, Žvyras ir Nuodas. N14

2007-01-15 - Pirmadienis

2007-01-16 - Antradienis

2007-01-17 - Trečiadienis

2007-01-18 - Ketvirtadienis

2007-01-19 - Penktadienis
08.25	Dienos programa.
08.30	"Mano svajonių Džinė" (92) (k) (I Dream of Jeanny). 1965 m. JAV. Rež.: Sidney Sheldon . Vaid.: Larry Hagman, Barbara Eden. - Humoro serialas
09.00	"Storulis Albertas" (10) (k) (Fat Albert and the Cosby Kids). 1972 m. JAV. - Animacinis serialas
09.25	"Sedrikas" (50) (k) (Cedric II). 2003 m. Prancūzija,Belgija. - Animacinis serialas
09.50	"Merė Keitė ir Ešlė skuba į pagalbą" (25) (k) (Mary-Kate and Ashley: in Action!). 2001 m. JAV. - Animacinis serialas
10.15	Meilės istorijos. 39 laida.
11.00	"Čarlio angelai" (22) (Charlie's Angels). 1976 m. JAV. Rež.: Ivan Goff. Vaid.: Kate Jackson, Farrah Fawcett-Majors, Jacklyn Smith. - Veiksmo serialas
12.00	"San Francisko raganos III" (53) (k) (Charmed III). 2001 m. JAV. Rež.: John Behringer. Vaid.: Shannen Doherty, Holly Marie Combs, Alyssa Milano. N7 - Serialas
13.00	"Šaunusis Rupertas" (4) (k) (Super Rupert). 2001 m. Kanada. Rež.: Randy Bradshaw. - Nuotykių serialas
13.30	"Storulis Albertas" (11) (Fat Albert and the Cosby Kids). 1972 m. JAV. - Animacinis serialas
13.55	"Sedrikas" (51) (Cedric II). 2003 m. Prancūzija,Belgija. - Animacinis serialas
14.20	"Merė Keitė ir Ešlė skuba į pagalbą" (26) (Mary-Kate and Ashley: in Action!). 2001 m. JAV. - Animacinis serialas
14.45	"Šviesos kampelis" (87) (Rincon de Luz (Little House of Light)). 2003 m. Argentina. Rež.: Gerardo Mariani. Vaid.: Laura Anders, Valeria Britos, Monica Calho, Osvaldo Cappra. - Telenovelė
15.45	"Be namų negerai" (2769) (Home and Away). 2002 m. Australija. Rež.: Alan Bateman. Vaid.: Lyn Collingwood, Katie Ritchie, Vanessa Downing. - Telenovelė
16.15	"Lobių sala" (Treasure Island). 1999 m. Didžioji Britanija,Kanada. Rež.: Peter Rowe. Vaid.: Jack Palance, Kevin Zegers, Patrick Bergin, Al Ashton. - Nuotykių filmas
18.00	"Džekio Čano nuotykiai" (83) (Jackie Chan Adventures V).
18.20	"Urvinis Fredas" (6) (Fred the Caveman). 2002 m. Kanada. Rež.: Rudi Bloss. - Animacinis serialas
18.30	"Nekviesta meilė" (13) (k). 2006 m. Lietuva. Rež.: Alvydas Šlepikas. Vaid.: Inga Jankauskaitė, Adolfas Večerskis, Rimantė Valiukaitė, Saulius Balandis. - Serialas
19.00	"Naujausi pasaulio Gineso rekordai" (9) (Ultimate Guiness World Records). 2004 m. JAV. - Realybės dokumentika
19.30	"Rekordų laužytojai" (22) (Record Breakers). Australija. Rež.: Nick Hopkin. - Realybės dokumentika
20.00	"Keistuoliai. Tikėti ar netikėti" (45) (Ripley's Believe It or Not). 2000 m. JAV. - Realybės dokumentika
21.00	NBA varžybos. Indiana "Pacers" - Miami "Heat". Vaizdo įrašas.
23.00	Tas džiazuojantis pasaulis. Vedėja Julija Jačėnaitė.
23.30	DUŠAS. Muzikinė pramoginė pokalbių laida. Tiesioginė transliacija iš TV1 studijos. Vedėjai Uršula, Varinė, Žvyras ir Nuodas. N14

2007-01-20 - Šeštadienis

2007-01-21 - Sekmadienis

2007-01-22 - Pirmadienis

2007-01-23 - Antradienis

2007-01-24 - Trečiadienis
08.25	Dienos programa.
08.30	"Šaunusis Rupertas" (5) (k) (Super Rupert). 2001 m. Kanada. Rež.: Randy Bradshaw. - Nuotykių serialas
09.00	"Storulis Albertas" (13) (k) (Fat Albert and the Cosby Kids). 1972 m. JAV. - Animacinis serialas
09.25	"Super Duper Sumo" (1) (k) (Super Duper Sumos). 2003 m. JAV,Pietų Korėja,Kanada. - Animacinis serialas
09.50	"Šunelis junga" (2) (k) (Sea Dogs). 1996 m. Prancūzija. - Animacinis serialas
10.13	Žodis - ne žvirblis.
10.15	Meilės istorijos. 42 laida.
11.00	"Čarlio angelai" (25) (Charlie's Angels). 1976 m. JAV. Rež.: Ivan Goff. Vaid.: Kate Jackson, Farrah Fawcett-Majors, Jacklyn Smith. - Veiksmo serialas
12.00	"Naujausi pasaulio Gineso rekordai" (9) (k) (Ultimate Guiness World Records). 2004 m. JAV. - Realybės dokumentika
12.30	"Rekordų laužytojai" (22) (k) (Record Breakers). Australija. Rež.: Nick Hopkin. - Realybės dokumentika
13.00	"Adamsų šeimynėlė" (24) (k) (Addams Family, the). 1964 m. JAV. Rež.: Stanley Z. Cherry, Arthur Hiller. Vaid.: Carolyn Jones, John Astin, Ted Cassidy. - Serialas
13.30	"Storulis Albertas" (14) (Fat Albert and the Cosby Kids). 1972 m. JAV. - Animacinis serialas
13.55	"Super Duper Sumo" (2) (Super Duper Sumos). 2003 m. JAV,Pietų Korėja,Kanada. - Animacinis serialas
14.20	"Šunelis junga" (3) (Sea Dogs). 1996 m. Prancūzija. - Animacinis serialas
14.45	"Šviesos kampelis" (90) (Rincon de Luz (Little House of Light)). 2003 m. Argentina. Rež.: Gerardo Mariani. Vaid.: Laura Anders, Valeria Britos, Monica Calho, Osvaldo Cappra. - Telenovelė
15.45	"Be namų negerai" (2772) (Home and Away). 2002 m. Australija. Rež.: Alan Bateman. Vaid.: Lyn Collingwood, Katie Ritchie, Vanessa Downing. - Telenovelė
16.15	"Braisas Nuostabusis" (Brice De Nice). 2005 m. Prancūzija. Rež.: James Huth. Vaid.: Jean Dujardin, Clovis Cornillac, Élodie Bouchez, Bruno Salomone. N7 - Komedija
18.05	"Lioko kodas" (5) (Code Lyoko). 2004 m. Prancūzija. - Animacinis serialas
18.30	"Nekviesta meilė" (16) (k). 2006 m. Lietuva. Rež.: Alvydas Šlepikas. Vaid.: Inga Jankauskaitė, Adolfas Večerskis, Rimantė Valiukaitė, Saulius Balandis. - Serialas
18.58	Žodis - ne žvirblis.
19.00	"Nuotakos siaubūnės" (23) (Bridezillas). 2005 m. JAV. - Realybės šou
20.00	"Amazonė" (Amazon). 1997 m. JAV. - Dokumentinis filmas
20.40	"Mitai apie gyvūnus" (1, 2).
21.00	"Nuodėmingas gyvenimas" (Sinful Life, A). 1989 m. JAV. Rež.: William Schreiner. Vaid.: Anita Morris, Dennis Christopher, Rick Overton. N14 - Komedija
22.45	ŠMC TV.
23.05	DUŠAS. Muzikinė pramoginė pokalbių laida. Tiesioginė transliacija iš TV1 studijos. Vedėjai Uršula, Varinė, Žvyras ir Nuodas. N14

2007-01-25 - Ketvirtadienis

2007-01-26 - Penktadienis

2007-01-27 - Šeštadienis

2007-01-28 - Sekmadienis

2007-01-29 - Pirmadienis

2007-01-30 - Antradienis

2007-01-31 - Trečiadienis

-----
Vasaris
-----
2007-02-01 - Ketvirtadienis

2007-02-02 - Penktadienis

2007-02-03 - Šeštadienis
08.25	Dienos programa.
08.30	"Peno ir Telerio žudynės" (k) (Penn & Teller Get Killed). 1989 m. JAV. Rež.: Arthur Penn. Vaid.: Penn Jillette, Teller ., Caitlin Clarke.
Nuotykių komedija
10.10	"Storulis Albertas" (16) (Fat Albert and the Cosby Kids). 1972 m. JAV.
Animacinis serialas
10.30	"Šaunusis Rupertas" (9) (Super Rupert). 2001 m. Kanada. Rež.: Randy Bradshaw.
Nuotykių serialas
11.00	"Naujausi pasaulio Gineso rekordai" (11) (k) (Ultimate Guiness World Records). 2004 m. JAV.
Realybės dokumentika
11.30	"Rekordų laužytojai" (24) (k) (Record Breakers). Australija. Rež.: Nick Hopkin.
Realybės dokumentika
12.00	"Mano svajonių Džinė" (97) (I Dream of Jeanny). 1965 m. JAV. Rež.: Sidney Sheldon . Vaid.: Larry Hagman, Barbara Eden.
Humoro serialas
12.30	"Adamsų šeimynėlė" (28) (Addams Family, the). 1964 m. JAV. Rež.: Stanley Z. Cherry, Arthur Hiller. Vaid.: Carolyn Jones, John Astin, Ted Cassidy.
Serialas
12.58	Žodis - ne žvirblis.
13.00	"Džekio Čano nuotykiai" (88) (Jackie Chan Adventures V). 2000 m. JAV.
Animacinis serialas
13.25	"Lioko kodas" (9) (Code Lyoko). 2004 m. Prancūzija.
Animacinis serialas
13.50	"Pučinis" (28) (Poochini). 2000 m. JAV. Rež.: Dave Marshall, Dave Thomas.
Animacinis serialas
14.00	"Nykstančios šimpanzės" (k) (Chimps on the Edge). 2004 m. JAV.
Dokumentinis filmas
15.00	"Žudymo instinktas" (45) (Killer Instinct). 2001 m. JAV.
Dokumentinis serialas
16.00	"Šnipai kaip mes" (Spies Like Us). 1985 m. JAV. Rež.: John Landis. Vaid.: Chevy Chase, Dan Aycroyd, Steve Forrest, Donna Dixon.
Komedija
17.55	"Ralfas rekordininkas" (5, 6) (Ralf The Record Rat). 2003 m.
Animacinis serialas
18.00	"Nuotakos siaubūnės" (24) (k) (Bridezillas). 2005 m. JAV.
Realybės šou
19.00	"Gelbėtojų komanda" (1) (Third Watch I). 1999 m. JAV. Rež.: Paul McCrane, Matt Earl Beesley. Vaid.: Coby Bell, Jason Wiles, Michael Beach. N7
Serialas
19.58	Žodis - ne žvirblis.
20.00	"F. T. Budrioji akis" (33) (Sue Thomas: F. B. Eye). 2002 m. JAV. Rež.: Dave Alan Johnson , Gary R. Johnson . Vaid.: Deanne Bray, Yannick Bisson, Rick Peters.
Kriminalinis veiksmo serialas
21.00	"Zoro kaukė" (Mask of Zorro). 1998 m. JAV. Rež.: Martin Campbell. Vaid.: Antonio Banderas, Anthony Hopkins, Cantherine Zeta-Jones. N7
Nuotykių
23.35	"Slapta grėsmė" (Domestic Disturbance). 2001 m. JAV. Rež.: Harold Becker. Vaid.: John Travolta, James Lashly, Rebecca Tilney. N7
Kriminalinė drama

2007-02-04 - Sekmadienis

2007-02-05 - Pirmadienis

2007-02-06 - Antradienis

2007-02-07 - Trečiadienis

2007-02-08 - Ketvirtadienis

2007-02-09 - Penktadienis

2007-02-10 - Šeštadienis

2007-02-11 - Sekmadienis
08.25	Dienos programa.
08.30	"Prieš patekant saulei" (k) (Before Sunrise). 1995 m. Austrija,Šveicarija,JAV. Rež.: Richard Linklater. Vaid.: Ethan Hawke, Julie Delpy, Andrea Eckert.
Romantinė drama
10.20	"Urvinis Fredas" (29) (Fred the Caveman). 2002 m. Kanada. Rež.: Rudi Bloss.
Animacinis serialas
10.30	"Šaunusis Rupertas" (12) (Super Rupert). 2001 m. Kanada. Rež.: Randy Bradshaw.
Nuotykių serialas
11.00	"Keistuoliai. Tikėti ar netikėti" (48) (k) (Ripley's Believe It or Not). 2000 m. JAV.
Realybės dokumentika
12.00	"Mano svajonių Džinė" (100) (I Dream of Jeanny). 1965 m. JAV. Rež.: Sidney Sheldon . Vaid.: Larry Hagman, Barbara Eden.
Humoro serialas
12.30	"Adamsų šeimynėlė" (31) (Addams Family, the). 1964 m. JAV. Rež.: Stanley Z. Cherry, Arthur Hiller. Vaid.: Carolyn Jones, John Astin, Ted Cassidy.
Serialas
13.00	"Džekio Čano nuotykiai" (91) (Jackie Chan Adventures V). 2000 m. JAV.
Animacinis serialas
13.25	"Lioko kodas" (12) (Code Lyoko). 2004 m. Prancūzija.
Animacinis serialas
13.50	"Pučinis" (31) (Poochini). 2000 m. JAV. Rež.: Dave Marshall, Dave Thomas.
Animacinis serialas
14.00	Sveikatos ABC.
14.30	"Pokalbiai su gyvūnais" (4) (k) (Talking with Animals). 2002 m. JAV.
Dokumentinis serialas
15.00	"Žudymo instinktas" (48) (Killer Instinct). 2001 m. JAV.
Dokumentinis serialas
16.00	"Haulo burtai. Keliaujanti pilis" (Howl`s Moving Castle). 2004 m. Japonija. Rež.: Hayao Miyazaki, Rick Dempsey.
Animacinis filmas
18.00	"Dešimčia metų jaunesni per 10 dienų" (11, 12) (k) (10 Years Younger). 2004 m. Didžioji Britanija.
Realybės šou
19.00	"Gelbėtojų komanda" (4) (Third Watch I). 1999 m. JAV. Rež.: Paul McCrane, Matt Earl Beesley. Vaid.: Coby Bell, Jason Wiles, Michael Beach. N7
Serialas
20.00	Ekipažas (k). Vedėjai Valdas Valiukevičius ir Dainius Leonavičius
TV žurnalas
20.30	NBA apžvalga (NBA action). 2006 m. JAV.
21.00	"Tyrelės bumas" (Baby Boom). 1987 m. JAV. Rež.: Charles Shyer. Vaid.: Diane Keaton, Sam Shepard, Harold Ramis.
Romantinė komedija
23.10	DUŠAS. Muzikinė pramoginė pokalbių laida. Tiesioginė transliacija iš TV1 studijos. Vedėjai Uršula, Varinė, Žvyras ir Nuodas. N14

2007-02-12 - Pirmadienis

2007-02-13 - Antradienis

2007-02-14 - Trečiadienis

2007-02-15 - Ketvirtadienis

2007-02-16 - Penktadienis

2007-02-17 - Šeštadienis

2007-02-18 - Sekmadienis
08.10	Dienos programa.
08.15	"Haulo burtai. Keliaujanti pilis" (k) (Howl`s Moving Castle). 2004 m. Japonija. Rež.: Hayao Miyazaki, Rick Dempsey.
Animacinis filmas
10.30	"Dvynukės" (1) (Two of a Kind). 1998 m. JAV. Rež.: Howard Adler. Vaid.: Ashley Olsen, Mary-Kate Olsen, Christopher Sieber.
Humoro serialas
11.00	"Keistuoliai. Tikėti ar netikėti" (45) (k) (Ripley). 2000 m. JAV.
Realybės dokumentika
12.00	"Mano svajonių Džinė" (102) (I Dream of Jeanny). 1965 m. JAV. Rež.: Sidney Sheldon . Vaid.: Larry Hagman, Barbara Eden.
Humoro serialas
12.30	"Adamsų šeimynėlė" (33) (Addams Family, the). 1964 m. JAV. Rež.: Stanley Z. Cherry, Arthur Hiller. Vaid.: Carolyn Jones, John Astin, Ted Cassidy.
Serialas
13.00	"Džekio Čano nuotykiai" (93) (Jackie Chan Adventures V). 2000 m. JAV.
Animacinis serialas
13.25	"Lioko kodas" (14) (Code Lyoko). 2004 m. Prancūzija.
Animacinis serialas
13.50	"Pučinis" (33) (Poochini). 2000 m. JAV. Rež.: Dave Marshall, Dave Thomas.
Animacinis serialas
14.00	Sveikatos ABC.
14.30	"Tyrinėtojai. Ar ten kas nors yra?" (Quest. Is Anyone Out There?). 1995 m. JAV.
Dokumentinis serialas
15.00	"Žudymo instinktas" (50) (Killer Instinct). 2001 m. JAV.
Dokumentinis serialas
16.00	"Papūsk man į uodegą" (Hot to Trot). 1988 m. JAV. Rež.: Michael Dinner. Vaid.: Bob Goldthwait, Dabney Coleman, John Candy.
Komedija
17.35	"Raganaitė Sabrina" (3) (Sabrina the Animated Series). 2001 m. JAV. Rež.: David Teague, Scott Heming.
Animacinis serialas
18.00	"Dešimčia metų jaunesni per 10 dienų" (13, 14) (k) (10 Years Younger). 2004 m. Didžioji Britanija.
Realybės šou
19.00	"Gelbėtojų komanda" (6) (Third Watch I). 1999 m. JAV. Rež.: Paul McCrane, Matt Earl Beesley. Vaid.: Coby Bell, Jason Wiles, Michael Beach. N7
Serialas
20.00	Ekipažas (k). TV žurnalas. Vedėjai Valdas Valiukevičius ir Dainius Leonavičius.
20.30	NBA apžvalga (NBA action!). 2007 m. JAV.
21.00	"Anglas ligonis" (English Patient). 1996 m. JAV. Rež.: Anthony Minghella. Vaid.: Ralph Fiennes, Juliette Binoche, Willem Dafoe. N14
Romantinė drama
00.05	DUŠAS. Muzikinė pramoginė pokalbių laida. Tiesioginė transliacija iš TV1 studijos. Vedėjai Uršula, Varinė, Žvyras ir Nuodas. N14
03.00	NBA varžybų tiesioginė transliacija. "All Stars Games".

2007-02-19 - Pirmadienis

2007-02-20 - Antradienis

2007-02-21 - Trečiadienis

2007-02-22 - Ketvirtadienis

2007-02-23 - Penktadienis

2007-02-24 - Šeštadienis

2007-02-25 - Sekmadienis

2007-02-26 - Pirmadienis
08.25	Dienos programa.
08.30	Adamsų šeimynėlė (34) (k) (Addams Family, the). 1964 m. JAV. Rež.: Stanley Z. Cherry, Arthur Hiller. Vaid.: Carolyn Jones, John Astin, Ted Cassidy.
Serialas
09.00	Storulis Albertas (36) (k) (Fat Albert and the Cosby Kids). 1972 m. JAV.
Animacinis serialas
09.25	Super Duper Sumo (24) (k) (Super Duper Sumos). 2003 m. JAV,Pietų Korėja,Kanada.
Animacinis serialas
09.50	Raganaitė Sabrina (12) (k) (Sabrina the Animated Series). 2001 m. JAV. Rež.: David Teague, Scott Heming.
Animacinis serialas
10.13	Žodis - ne žvirblis.
10.15	Meilės istorijos.
